MESSAGE_AUTH_FAILED	Usuario o contraseña incorrecta
MESSAGE_EXIT_CONFIRM	¿Salir de la aplicación?
MESSAGE_CALL_CONFIRM	Poner llamada en
MESSAGE_UPLOAD_CONFIRM	¿ Cargar la conversación al servidor?
MESSAGE_SKYPE_NOT_CONNECTED	Skype no responde. Porfavor intente abrir de nuevo Skype
MESSAGE_SKYPE_ERROR	Un error ocurrió mientras la comunicación con skype...
MESSAGE_SKYPE_NOT_RUNNING	Skype no esta activo. Por favor abra Skype para continuar
MESSAGE_EXISTING_MP3	Se encontró un archivo final MP3 existente. ¿Desea crear un nuevo archivo?
MESSAGE_OLD_VERSION	Una versión nueva  de la aplicación está disponible. Inicia sesión con la versión más reciente.
BUTTON_EXIT	Salir
BUTTON_LOGIN	Entrar
BUTTON_CALL	Llamar
BUTTON_HANGUP	Colgar
BUTTON_UPLOAD	Cargar
BUTTON_CANCEL	Cancelar
BUTTON_CONTINUE	Continuar
LABEL_EMAIL	Dirección de Email
LABEL_PASSWORD	Contraseña
LABEL_WELCOME	Bienvenido
LABEL_ERROR_OCCURRED	Un error ocurrió
LABEL_CONVERTING_MP3	Convirtiendo a MP3
LABEL_BYTES_CONVERTED	Bytes convertidos:
LABEL_BYTES_UPLOADED	Bytes cargados:
LABEL_FINALIZING_UPLOAD	Finalizando carga…
LABEL_CALL_STATUS	Estado de la llamada:
CALLSTATUS_ROUTING	Enrutando
CALLSTATUS_RINGING	Timbrando
CALLSTATUS_CONNECTED	Conectado
CALLSTATUS_FAILED	falló
CALLSTATUS_FINISHED	Terminado
CALLSTATUS_CANCELLED	Cancelado
CALLSTATUS_BUSY	Ocupado
CALLSTATUS_REFUSED	Rehusado
CALLSTATUS_MISSED	Perdido
CALLSTATUS_VM	Correo de Voz
TABLEHEADER_NAME	Nombre
TABLEHEADER_TIME	Tiempo
TABLEHEADER_STATUS	Estado
BUTTON_REFRESH	refrescar
